date,tax,loan,business,rent,college,apartments,office,insurance,Business plan templates,Small business ideas,How to start a small business,office space for rent,website hosting service,freelancing,side hustle,ecommerce
2019-03-31,40.2,10.4,25.4,30.8,55.4,44.0,83.2,51.6,0.0,0.0,11.6,37.8,0.0,9.6,25.0,70.8
2019-04-30,39.0,10.25,25.5,30.0,49.75,41.75,87.0,50.25,0.0,0.0,9.5,32.0,0.0,12.75,29.75,64.0
2019-05-31,20.0,10.5,24.25,30.0,50.75,42.5,83.75,49.75,0.0,0.0,10.75,48.25,4.0,4.0,22.75,64.0
2019-06-30,19.4,11.0,24.0,32.8,43.6,46.0,84.6,53.2,0.0,0.0,8.0,43.0,0.0,8.8,33.2,63.8
2019-07-31,19.25,11.5,24.25,33.5,42.25,47.75,87.5,56.25,0.0,0.0,16.5,45.0,6.5,12.0,21.5,69.75
2019-08-31,19.25,11.5,25.0,30.5,60.0,44.5,90.75,54.5,0.0,0.0,9.75,36.0,3.25,9.25,25.5,67.25
2019-09-30,20.6,10.6,26.0,29.0,58.0,40.4,81.8,52.2,0.0,0.0,5.4,36.2,4.6,7.2,26.8,65.0
2019-10-31,22.75,10.0,24.0,25.75,52.25,36.25,81.25,51.0,0.0,0.0,12.0,36.5,0.0,7.5,19.75,63.5
2019-11-30,20.75,9.75,23.5,25.5,54.25,33.5,78.25,49.25,0.0,0.0,7.25,35.0,0.0,8.75,15.5,60.0
2019-12-31,21.6,9.8,21.2,24.6,47.8,34.6,83.6,49.0,0.0,0.0,4.6,27.4,3.6,1.6,16.8,60.8
2020-01-31,34.25,10.5,26.5,27.5,53.25,41.75,87.0,57.75,0.0,0.0,10.75,54.0,0.0,4.75,23.0,62.25
2020-02-29,47.75,11.0,26.5,28.0,48.5,41.25,85.25,55.5,0.0,0.0,6.25,40.5,2.75,4.0,27.75,73.25
2020-03-31,37.4,15.8,30.2,25.6,38.6,32.6,90.2,49.6,0.0,0.0,4.8,33.8,0.0,14.6,16.0,64.8
2020-04-30,33.75,19.25,28.75,24.5,37.5,34.75,76.75,48.5,0.0,0.0,4.75,33.25,0.0,9.0,26.5,84.75
2020-05-31,23.4,14.4,26.0,28.6,40.4,40.8,76.0,46.8,0.0,0.0,14.6,48.8,1.0,14.2,21.2,87.4
2020-06-30,25.25,15.0,25.75,33.25,36.25,47.0,76.75,50.75,0.0,0.0,12.25,41.0,1.25,4.75,28.0,90.0
2020-07-31,31.5,17.0,27.75,34.5,35.75,46.5,79.25,52.0,0.0,0.0,20.25,45.5,2.25,10.5,26.25,86.5
2020-08-31,25.6,12.6,24.2,31.6,43.0,43.6,80.8,50.0,0.0,0.0,13.6,46.0,2.4,7.6,27.0,89.6
2020-09-30,22.5,10.5,24.0,28.0,37.75,41.0,72.0,46.75,0.0,0.0,11.0,41.0,3.25,7.25,26.75,78.0
2020-10-31,25.5,11.5,23.75,29.5,36.5,43.25,72.25,49.5,0.0,0.0,10.5,53.0,3.75,8.75,34.25,74.75
2020-11-30,21.6,10.6,21.6,25.4,50.4,37.8,66.6,46.4,0.0,0.0,11.8,56.6,2.6,7.0,58.8,66.0
2020-12-31,23.5,11.25,21.0,25.75,36.25,37.25,72.75,44.75,0.0,0.0,10.75,46.25,2.0,7.75,47.0,69.25
2021-01-31,35.4,13.2,24.4,31.2,36.8,44.6,73.8,52.0,0.0,0.0,20.4,54.4,0.0,6.0,54.0,69.8
2021-02-28,47.25,13.25,24.75,31.5,33.25,45.25,67.25,53.25,0.0,0.0,19.5,55.0,3.25,7.5,46.75,67.5
2021-03-31,49.0,13.0,23.5,32.25,34.5,47.0,66.25,55.25,0.0,0.0,13.25,57.0,1.25,5.0,41.75,64.5
2021-04-30,43.25,14.5,24.0,33.5,33.5,50.5,65.25,54.0,0.0,0.0,9.75,61.25,1.5,4.75,37.5,65.0
2021-05-31,37.4,13.6,23.8,35.0,34.2,52.4,66.2,55.0,0.0,0.0,6.2,60.0,1.6,4.2,40.0,68.6
2021-06-30,27.5,12.25,22.0,36.25,32.25,52.5,69.25,53.5,0.0,0.0,5.75,56.5,1.75,3.25,46.25,57.5
2021-07-31,30.75,12.0,22.25,36.25,30.75,53.5,65.0,53.25,0.0,0.0,11.5,52.0,3.75,8.25,47.75,63.0
2021-08-31,24.0,12.0,22.2,33.8,42.0,52.0,70.2,53.4,0.0,0.0,13.8,49.8,2.0,3.4,44.2,61.4
2021-09-30,25.0,11.5,24.0,32.0,43.25,47.5,65.0,53.5,0.0,0.0,16.25,57.25,8.0,12.5,42.5,66.25
2021-10-31,25.8,11.6,23.4,30.2,40.8,44.0,65.4,52.2,0.0,0.0,5.0,45.8,1.2,19.4,55.6,67.6
2021-11-30,23.5,11.25,22.75,30.0,41.0,42.75,64.25,52.5,0.0,0.0,14.25,49.5,1.5,5.25,50.75,76.25
2021-12-31,23.0,10.75,19.5,26.75,37.5,37.75,64.5,48.0,0.0,0.0,15.75,56.75,2.5,2.25,37.0,57.25
2022-01-31,37.4,12.2,26.2,31.4,43.0,43.4,69.0,56.2,0.0,0.0,30.2,58.6,1.8,7.0,65.8,74.2
2022-02-28,48.5,12.75,29.5,31.75,40.75,44.75,69.5,55.0,0.0,0.0,11.75,45.0,0.0,13.5,52.75,72.25
2022-03-31,49.25,13.75,31.0,32.75,43.25,45.5,69.5,56.0,0.0,0.0,11.75,52.25,1.25,6.75,59.5,76.75
2022-04-30,55.5,13.0,31.5,31.75,42.5,44.5,69.5,53.5,0.0,0.0,19.0,46.75,0.0,12.25,66.75,82.25
2022-05-31,23.8,12.2,27.4,30.0,42.6,43.4,65.0,52.0,0.0,0.0,12.4,48.2,0.0,9.6,53.6,79.6
2022-06-30,23.25,11.0,27.0,31.75,38.0,45.0,71.25,54.0,0.0,0.0,6.0,47.75,0.0,14.75,67.25,78.5
2022-07-31,23.8,12.4,27.6,32.2,37.2,46.6,69.8,55.4,0.0,0.0,24.6,42.0,4.0,10.6,69.2,85.0
2022-08-31,24.0,19.25,28.75,29.5,54.25,42.5,70.75,54.75,0.0,0.0,16.0,46.5,1.25,10.25,70.75,81.75
2022-09-30,23.75,12.5,29.0,26.5,49.75,38.25,65.75,52.25,0.0,0.0,6.5,42.5,1.25,6.75,60.5,86.5
2022-10-31,30.6,15.6,28.6,23.6,47.6,36.0,66.0,51.8,0.0,0.0,10.6,43.8,5.0,19.0,62.0,78.8
2022-11-30,27.5,11.25,25.25,21.25,50.25,30.25,60.25,47.25,0.0,0.0,8.0,33.75,0.0,16.5,70.75,74.75
2022-12-31,28.5,9.75,25.25,22.25,42.5,30.0,65.0,49.5,0.0,0.0,13.75,42.75,3.25,11.25,64.75,78.75
2023-01-31,41.4,11.0,30.2,25.4,47.4,37.2,67.2,57.6,0.0,0.0,9.2,56.2,1.0,12.4,84.6,84.0
2023-02-28,45.0,11.0,28.0,24.666666666666668,41.0,34.666666666666664,61.0,54.0,0.0,0.0,12.333333333333334,33.0,0.0,4.333333333333333,54.0,77.0
